"id","community","color"
"85214130018",1,"#61DCA9"
"85213705399",1,"#61DCA9"
"85213504854",2,"#9B7424"
"85211778719",3,"#8C0172"
"85209758913",1,"#61DCA9"
"85209402709",3,"#8C0172"
"85209361869",2,"#9B7424"
"85209128431",3,"#8C0172"
"85208752586",1,"#61DCA9"
"85208125867",1,"#61DCA9"
"85204893704",1,"#61DCA9"
"85204633737",1,"#61DCA9"
"85203453002",1,"#61DCA9"
"85203324231",2,"#9B7424"
"85203322945",1,"#61DCA9"
"85203308081",1,"#61DCA9"
"85202899987",1,"#61DCA9"
"85202846213",1,"#61DCA9"
"85202177443",1,"#61DCA9"
"85201530993",1,"#61DCA9"
"85200481443",1,"#61DCA9"
"85200373588",1,"#61DCA9"
"85198665817",1,"#61DCA9"
"85198659246",1,"#61DCA9"
"85197306706",2,"#9B7424"
"85196525603",2,"#9B7424"
"85196271307",2,"#9B7424"
"85191055908",1,"#61DCA9"
"85190291230",1,"#61DCA9"
"85188618820",1,"#61DCA9"
"85187946002",2,"#9B7424"
"85187887691",1,"#61DCA9"
"85187477814",1,"#61DCA9"
"85185335440",1,"#61DCA9"
"85185128859",1,"#61DCA9"
"85185098363",1,"#61DCA9"
"85180842998",4,"#944046"
"85179933212",2,"#9B7424"
"85175977807",1,"#61DCA9"
"85174699756",1,"#61DCA9"
"85174411282",2,"#9B7424"
"85173918029",1,"#61DCA9"
"85173720646",2,"#9B7424"
"85173585562",1,"#61DCA9"
"85173577336",2,"#9B7424"
"85172404913",1,"#61DCA9"
"85172133616",1,"#61DCA9"
"85171997214",3,"#8C0172"
"85171379023",3,"#8C0172"
"85171351589",2,"#9B7424"
"85170382528",2,"#9B7424"
"85169161665",4,"#944046"
"85168610871",3,"#8C0172"
"85168374912",1,"#61DCA9"
"85168368677",1,"#61DCA9"
"85168351250",1,"#61DCA9"
"85167519529",1,"#61DCA9"
"85167517132",1,"#61DCA9"
"85167515184",2,"#9B7424"
"85163717490",1,"#61DCA9"
"85162668259",1,"#61DCA9"
"85161928847",1,"#61DCA9"
"85161019109",3,"#8C0172"
"85160074138",1,"#61DCA9"
"85154048019",1,"#61DCA9"
"85153273441",2,"#9B7424"
"85152710489",1,"#61DCA9"
"85151356221",1,"#61DCA9"
"85150898934",1,"#61DCA9"
"85150169586",2,"#9B7424"
"85149987016",2,"#9B7424"
"85149945227",2,"#9B7424"
"85149840457",1,"#61DCA9"
"85148711199",1,"#61DCA9"
"85148415433",5,"#8EB63B"
"85147952904",1,"#61DCA9"
"85147565637",1,"#61DCA9"
"85146808590",2,"#9B7424"
"85146504858",2,"#9B7424"
"85145199575",3,"#8C0172"
"85144215251",2,"#9B7424"
"85144227535",2,"#9B7424"
"85143539147",3,"#8C0172"
"85143507418",1,"#61DCA9"
"85143439759",1,"#61DCA9"
"85141806733",2,"#9B7424"
"85141804963",1,"#61DCA9"
"85141769070",1,"#61DCA9"
"85141747607",2,"#9B7424"
"85141624420",2,"#9B7424"
"85141475802",2,"#9B7424"
"85141427770",1,"#61DCA9"
"85140789121",3,"#8C0172"
"85138311591",2,"#9B7424"
"85138308192",1,"#61DCA9"
"85138247062",3,"#8C0172"
"85137996518",1,"#61DCA9"
"85137995799",1,"#61DCA9"
"85137601505",2,"#9B7424"
"85136622450",1,"#61DCA9"
"85135487297",2,"#9B7424"
"85135112436",2,"#9B7424"
"85134511114",2,"#9B7424"
"85134361564",1,"#61DCA9"
"85133673151",1,"#61DCA9"
"85133326638",2,"#9B7424"
"85133307547",2,"#9B7424"
"85133129048",2,"#9B7424"
"85133032523",2,"#9B7424"
"85132896462",1,"#61DCA9"
"85132842492",1,"#61DCA9"
"85132831108",1,"#61DCA9"
"85132559271",1,"#61DCA9"
"85132159267",2,"#9B7424"
"85132110622",1,"#61DCA9"
"85131818216",2,"#9B7424"
"85131376637",2,"#9B7424"
"85130756926",1,"#61DCA9"
"85129972828",3,"#8C0172"
"85128333584",1,"#61DCA9"
"85127719765",5,"#8EB63B"
"85127536039",1,"#61DCA9"
"85127477810",1,"#61DCA9"
"85127278929",1,"#61DCA9"
"85126356679",1,"#61DCA9"
"85126267813",2,"#9B7424"
"85126007780",1,"#61DCA9"
"85125304775",3,"#8C0172"
"85125292291",2,"#9B7424"
"85124817964",2,"#9B7424"
"85124459242",1,"#61DCA9"
"85122200267",1,"#61DCA9"
"85121483905",1,"#61DCA9"
"85120997987",1,"#61DCA9"
"85119993425",2,"#9B7424"
"85119877723",2,"#9B7424"
"85119085736",4,"#944046"
"85118704940",2,"#9B7424"
"85118592320",2,"#9B7424"
"85117301846",2,"#9B7424"
"85115197018",1,"#61DCA9"
"85115157210",2,"#9B7424"
"85115131051",2,"#9B7424"
"85114940268",2,"#9B7424"
"85114815869",1,"#61DCA9"
"85114448730",2,"#9B7424"
"85114032436",2,"#9B7424"
"85113750462",2,"#9B7424"
"85113172898",2,"#9B7424"
"85111922146",2,"#9B7424"
"85111288718",1,"#61DCA9"
"85110846664",1,"#61DCA9"
"85110370480",2,"#9B7424"
"85108867981",1,"#61DCA9"
"85107916046",1,"#61DCA9"
"85107385606",1,"#61DCA9"
"85107152391",1,"#61DCA9"
"85107115196",2,"#9B7424"
"85106691690",1,"#61DCA9"
"85106300201",1,"#61DCA9"
"85105214303",2,"#9B7424"
"85106048401",2,"#9B7424"
"85104024907",2,"#9B7424"
"85103825899",2,"#9B7424"
"85103394923",1,"#61DCA9"
"85103302503",3,"#8C0172"
"85102942639",2,"#9B7424"
"85102688758",2,"#9B7424"
"85102684760",2,"#9B7424"
"85102087347",2,"#9B7424"
"85102034585",1,"#61DCA9"
"85101883338",1,"#61DCA9"
"85101714675",2,"#9B7424"
"85101713822",1,"#61DCA9"
"85101400027",2,"#9B7424"
"85101343767",1,"#61DCA9"
"85101190456",2,"#9B7424"
"85100975106",2,"#9B7424"
"85100948501",2,"#9B7424"
"85100867748",1,"#61DCA9"
"85099337484",1,"#61DCA9"
"85099179246",3,"#8C0172"
"85099104268",1,"#61DCA9"
"85097485581",1,"#61DCA9"
"85097242473",1,"#61DCA9"
"85097160780",1,"#61DCA9"
"85092295788",1,"#61DCA9"
"85091969654",5,"#8EB63B"
"85091721310",1,"#61DCA9"
"85091221160",2,"#9B7424"
"85091094022",3,"#8C0172"
"85091030325",1,"#61DCA9"
"85090275269",2,"#9B7424"
"85089818475",2,"#9B7424"
"85089801517",1,"#61DCA9"
"85089795123",2,"#9B7424"
"85089030663",1,"#61DCA9"
"85088807635",3,"#8C0172"
"85088628878",2,"#9B7424"
"85088588411",1,"#61DCA9"
"85087819455",2,"#9B7424"
"85087387220",1,"#61DCA9"
"85087347345",2,"#9B7424"
"85087007722",1,"#61DCA9"
"85086841211",2,"#9B7424"
"85085989180",1,"#61DCA9"
"85084812161",2,"#9B7424"
"85084479260",1,"#61DCA9"
"85084278967",2,"#9B7424"
"85083961820",2,"#9B7424"
"85083806591",1,"#61DCA9"
"85083767081",3,"#8C0172"
"85083547232",2,"#9B7424"
"85081584397",1,"#61DCA9"
"85079490597",4,"#944046"
"85079459168",2,"#9B7424"
"85079185021",5,"#8EB63B"
"85079142733",4,"#944046"
"85079140023",1,"#61DCA9"
"85079079876",3,"#8C0172"
"85078306435",1,"#61DCA9"
"85078304786",1,"#61DCA9"
"85078187543",1,"#61DCA9"
"85077612989",1,"#61DCA9"
"85077606620",2,"#9B7424"
"85077592730",1,"#61DCA9"
"85077585730",2,"#9B7424"
"85077581046",2,"#9B7424"
"85077531536",2,"#9B7424"
"85077520239",2,"#9B7424"
"85077258227",2,"#9B7424"
"85076915332",3,"#8C0172"
"85076908028",4,"#944046"
"85076902555",3,"#8C0172"
"85076476726",2,"#9B7424"
"85076322647",2,"#9B7424"
"85075674529",1,"#61DCA9"
"85075579857",4,"#944046"
"85075548534",2,"#9B7424"
"85075398911",1,"#61DCA9"
"85075187820",5,"#8EB63B"
"85075184881",2,"#9B7424"
"85075175983",4,"#944046"
"85074666192",2,"#9B7424"
"85074370448",1,"#61DCA9"
"85074214835",3,"#8C0172"
"85073428878",4,"#944046"
"85073211117",1,"#61DCA9"
"85073200997",3,"#8C0172"
"85072964608",4,"#944046"
"85072916124",1,"#61DCA9"
"85071942306",2,"#9B7424"
"85071613487",1,"#61DCA9"
"85071052779",3,"#8C0172"
"85070208481",2,"#9B7424"
"85070099064",1,"#61DCA9"
"85069999312",3,"#8C0172"
"85068797063",1,"#61DCA9"
"85074730859",1,"#61DCA9"
"85067349411",1,"#61DCA9"
"85067205049",1,"#61DCA9"
"85066935613",1,"#61DCA9"
"85064939809",1,"#61DCA9"
"85064916051",2,"#9B7424"
"85064335368",1,"#61DCA9"
"85063996010",3,"#8C0172"
"85063971486",1,"#61DCA9"
"85063965625",3,"#8C0172"
"85063962479",3,"#8C0172"
"85063953271",1,"#61DCA9"
"85063946420",1,"#61DCA9"
"85063945304",1,"#61DCA9"
"85063944816",1,"#61DCA9"
"85063936227",3,"#8C0172"
"85063328329",1,"#61DCA9"
"85063139145",1,"#61DCA9"
"85063057345",1,"#61DCA9"
"85063010472",1,"#61DCA9"
"85062990087",1,"#61DCA9"
"85061506990",6,"#B2F2FD"
"85061482570",6,"#B2F2FD"
"85061399208",6,"#B2F2FD"
"85061384943",1,"#61DCA9"
"85061354714",6,"#B2F2FD"
"85061329037",6,"#B2F2FD"
"85061314165",1,"#61DCA9"
"85060940536",1,"#61DCA9"
"85060163355",1,"#61DCA9"
"85059538309",1,"#61DCA9"
"85059532194",2,"#9B7424"
"85059526502",6,"#B2F2FD"
"85059478275",1,"#61DCA9"
"85058054138",1,"#61DCA9"
"85057842822",2,"#9B7424"
"85057182383",2,"#9B7424"
"85056989037",1,"#61DCA9"
"85056465915",1,"#61DCA9"
"85056458870",1,"#61DCA9"
"85056073021",3,"#8C0172"
"85055417856",3,"#8C0172"
"85054666376",2,"#9B7424"
"85054124802",2,"#9B7424"
"85053532447",2,"#9B7424"
"85052926994",3,"#8C0172"
"85052845234",1,"#61DCA9"
"85052810372",3,"#8C0172"
"85066800862",2,"#9B7424"
"85052716082",1,"#61DCA9"
"85052392489",1,"#61DCA9"
"85049745086",1,"#61DCA9"
"85049505826",2,"#9B7424"
"85048307848",1,"#61DCA9"
"85047892799",1,"#61DCA9"
"85047270054",1,"#61DCA9"
"85046876461",1,"#61DCA9"
"85046829157",2,"#9B7424"
"85046482301",1,"#61DCA9"
"85046404029",1,"#61DCA9"
"85046299781",1,"#61DCA9"
"85045390885",3,"#8C0172"
"85045302709",3,"#8C0172"
"85044932406",1,"#61DCA9"
"85044839977",1,"#61DCA9"
"85044662276",1,"#61DCA9"
"85044638851",3,"#8C0172"
"85044324240",3,"#8C0172"
"85044298314",3,"#8C0172"
"85044280793",1,"#61DCA9"
"85044247870",1,"#61DCA9"
"85044231512",3,"#8C0172"
"85044220837",2,"#9B7424"
"85044174222",3,"#8C0172"
"85054414358",2,"#9B7424"
"85054409887",1,"#61DCA9"
"85054408996",1,"#61DCA9"
"85054408906",1,"#61DCA9"
"85054400134",1,"#61DCA9"
"85054396819",1,"#61DCA9"
"85054388328",1,"#61DCA9"
"85054365513",1,"#61DCA9"
"85054283323",2,"#9B7424"
"85054281047",1,"#61DCA9"
"85054278741",3,"#8C0172"
"85054277593",2,"#9B7424"
"85054270334",1,"#61DCA9"
"85054267415",3,"#8C0172"
"85054267281",1,"#61DCA9"
"85054257056",3,"#8C0172"
"85054248717",2,"#9B7424"
"85054233830",1,"#61DCA9"
"85054226406",2,"#9B7424"
"85054214175",1,"#61DCA9"
"85054206903",2,"#9B7424"
"85054206245",1,"#61DCA9"
"85054202658",1,"#61DCA9"
"85054201243",3,"#8C0172"
"85054198866",1,"#61DCA9"
"85034772877",1,"#61DCA9"
"85025812736",1,"#61DCA9"
"85025097527",1,"#61DCA9"
"85024481455",2,"#9B7424"
"85023755932",1,"#61DCA9"
"85021265597",1,"#61DCA9"
"85019881824",1,"#61DCA9"
"85021128240",3,"#8C0172"
"85020510811",1,"#61DCA9"
"85020270432",1,"#61DCA9"
"85020136109",4,"#944046"
"85017427199",2,"#9B7424"
"85017421036",1,"#61DCA9"
"85015875113",1,"#61DCA9"
"85015624691",2,"#9B7424"
"85015621645",1,"#61DCA9"
"85014574468",2,"#9B7424"
"85013040934",2,"#9B7424"
"85013035945",1,"#61DCA9"
"85011888111",2,"#9B7424"
"85011634359",2,"#9B7424"
"85010951410",2,"#9B7424"
"85010799406",1,"#61DCA9"
"85006835192",1,"#61DCA9"
"85006791309",3,"#8C0172"
"85001874153",1,"#61DCA9"
"85001686844",1,"#61DCA9"
"85000916551",1,"#61DCA9"
"84997050438",1,"#61DCA9"
"84992364798",1,"#61DCA9"
"84992166479",1,"#61DCA9"
"85008193467",1,"#61DCA9"
"84994091688",1,"#61DCA9"
"84991080712",1,"#61DCA9"
"84988691026",1,"#61DCA9"
"84988369390",1,"#61DCA9"
"84986305513",1,"#61DCA9"
"84982182231",1,"#61DCA9"
"84995814994",1,"#61DCA9"
"84995802964",1,"#61DCA9"
"84995791066",1,"#61DCA9"
"84992413268",1,"#61DCA9"
"84992317226",4,"#944046"
"84992316886",3,"#8C0172"
"84991810796",1,"#61DCA9"
"84991759029",1,"#61DCA9"
"84991054888",1,"#61DCA9"
"84982965895",3,"#8C0172"
"84976637566",1,"#61DCA9"
"84976474831",2,"#9B7424"
"84975225120",1,"#61DCA9"
"84974827884",1,"#61DCA9"
"84968658930",1,"#61DCA9"
"84961654835",1,"#61DCA9"
"84970046734",1,"#61DCA9"
"84966705283",1,"#61DCA9"
"84966694389",2,"#9B7424"
"84966664062",2,"#9B7424"
"84966320688",2,"#9B7424"
"84964527111",1,"#61DCA9"
"84961837406",1,"#61DCA9"
"84961784292",1,"#61DCA9"
"84961590331",1,"#61DCA9"
"84959363735",1,"#61DCA9"
"84955598443",1,"#61DCA9"
"84941350773",1,"#61DCA9"
"84938813679",3,"#8C0172"
"84930358047",2,"#9B7424"
"84959554523",1,"#61DCA9"
"84959547655",1,"#61DCA9"
"84959516586",1,"#61DCA9"
"84959504970",1,"#61DCA9"
"84959490607",1,"#61DCA9"
"84959483342",2,"#9B7424"
"84959474703",4,"#944046"
"84957725921",1,"#61DCA9"
"84957725785",1,"#61DCA9"
"84957725774",1,"#61DCA9"
"84957725633",4,"#944046"
"84957725375",1,"#61DCA9"
"84957725261",1,"#61DCA9"
"84957725130",5,"#8EB63B"
"84957724912",1,"#61DCA9"
"84943457110",3,"#8C0172"
"84943456174",3,"#8C0172"
"84943456091",2,"#9B7424"
"84943454291",3,"#8C0172"
"84943452991",2,"#9B7424"
"84943451514",1,"#61DCA9"
"84943451435",3,"#8C0172"
"84943450178",1,"#61DCA9"
"84940602448",1,"#61DCA9"
"84940593690",1,"#61DCA9"
"84940584634",3,"#8C0172"
"84940581687",1,"#61DCA9"
"84940576759",1,"#61DCA9"
"84940574326",2,"#9B7424"
"84940573412",1,"#61DCA9"
"84940544975",1,"#61DCA9"
"84930766361",1,"#61DCA9"
"84930763041",1,"#61DCA9"
"84930762537",1,"#61DCA9"
"84930759457",1,"#61DCA9"
"84930757100",3,"#8C0172"
"84930756229",1,"#61DCA9"
"84930752275",1,"#61DCA9"
"84929710416",1,"#61DCA9"
"84929710377",1,"#61DCA9"
"84929704613",2,"#9B7424"
"84929703341",1,"#61DCA9"
"84929702642",1,"#61DCA9"
"84929701859",2,"#9B7424"
"84939879159",4,"#944046"
"84925506180",2,"#9B7424"
"84925461572",1,"#61DCA9"
"84924813419",1,"#61DCA9"
"84889785279",2,"#9B7424"
"84943589236",2,"#9B7424"
"84943588885",1,"#61DCA9"
"84943588644",3,"#8C0172"
"84939897665",2,"#9B7424"
"84939882861",1,"#61DCA9"
"84922004387",1,"#61DCA9"
"84922004241",1,"#61DCA9"
"84911006748",1,"#61DCA9"
"84911006514",2,"#9B7424"
"84911005757",3,"#8C0172"
"84911003640",1,"#61DCA9"
"84911001630",5,"#8EB63B"
"85192643233",1,"#61DCA9"
"85192640037",1,"#61DCA9"
"85192627982",1,"#61DCA9"
"85192624303",1,"#61DCA9"
"85192618273",1,"#61DCA9"
"85192614934",1,"#61DCA9"
"85192614446",1,"#61DCA9"
"85192611891",1,"#61DCA9"
"85192579677",1,"#61DCA9"
"85160193201",1,"#61DCA9"
"85138499878",1,"#61DCA9"
"85045905514",1,"#61DCA9"
"85014873049",1,"#61DCA9"
"85014841587",1,"#61DCA9"
"84905753179",1,"#61DCA9"
"84905726335",1,"#61DCA9"
"84905725620",1,"#61DCA9"
"84905724890",1,"#61DCA9"
"84905724535",1,"#61DCA9"
"84905722619",2,"#9B7424"
"84905719272",1,"#61DCA9"
"84903213919",1,"#61DCA9"
"84903199642",1,"#61DCA9"
"84903180552",1,"#61DCA9"
"84903154838",1,"#61DCA9"
"84903142285",1,"#61DCA9"
"84903138886",1,"#61DCA9"
"84903123406",1,"#61DCA9"
"84899451016",2,"#9B7424"
"84899450130",4,"#944046"
"84899438715",2,"#9B7424"
"84899431037",1,"#61DCA9"
"84899430682",2,"#9B7424"
"84899412259",1,"#61DCA9"
"84899410832",1,"#61DCA9"
"84895895074",1,"#61DCA9"
"84895891267",1,"#61DCA9"
"84895890785",1,"#61DCA9"
"84895890750",1,"#61DCA9"
"84895890420",1,"#61DCA9"
"84895886489",1,"#61DCA9"
"84895880446",1,"#61DCA9"
"84895879583",1,"#61DCA9"
"84895877153",1,"#61DCA9"
"84895872768",1,"#61DCA9"
"84895869305",1,"#61DCA9"
"84895862905",1,"#61DCA9"
"84895861483",1,"#61DCA9"
"84892897093",1,"#61DCA9"
"84892882078",1,"#61DCA9"
"84892880478",1,"#61DCA9"
"84892877678",1,"#61DCA9"
"84892859587",2,"#9B7424"
"84892857148",1,"#61DCA9"
"84892840546",1,"#61DCA9"
"84885870456",1,"#61DCA9"
